login,activo_roster_A,ib_any_by_process,ib_processes_verified_count,certificados_earned_count,puede_hacer,le_falta_para_completar,cumple_todos_objetivo
pdelolmo,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
penaarel,SI,SI,7,99,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
penacans,SI,SI,9,94,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
perepjoh,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
perisaxi,SI,SI,1,7,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
perosofi,SI,SI,13,100,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
petretma,SI,SI,4,86,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
piladria,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
pintdarc,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
placderb,SI,SI,4,79,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
plaurmar,SI,SI,9,103,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
pmaestma,SI,SI,7,92,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
pmmezo,SI,SI,8,112,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
pnavarrq,SI,SI,9,110,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
possn,SI,SI,3,65,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
poyatosm,SI,SI,9,72,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
prezjkb,SI,SI,8,90,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
psalvajo,SI,SI,4,71,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
pyurbely,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
qachachl,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
qgonabel,SI,SI,7,24,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
qmarygon,SI,SI,11,139,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
qmlopeza,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
qsammend,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
quiester,SI,SI,4,19,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
raimonmo,SI,SI,7,145,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
ramicesr,SI,SI,10,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ramirime,SI,SI,12,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ramwcarl,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
rancited,SI,SI,5,51,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
