login,activo_roster_A,ib_any_by_process,ib_processes_verified_count,certificados_earned_count,puede_hacer,le_falta_para_completar,cumple_todos_objetivo
cabaldpa,SI,SI,11,113,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
cabranai,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
calderrs,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
camaantn,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
candresg,SI,SI,10,119,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
cargagog,SI,SI,8,37,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
carginic,SI,SI,8,126,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
casgab,SI,SI,3,18,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ccjohann,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
cealbvaz,SI,SI,10,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
cgongreg,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
chaveznb,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
chenaogn,SI,SI,10,90,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
chuecc,SI,SI,9,108,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
cipohcec,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
cjuacost,SI,SI,9,92,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
cmendezl,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
corewvio,SI,SI,10,120,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
costbica,SI,SI,12,77,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
cpemanue,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
cperezbe,SI,SI,11,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
cpindidi,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
crejuanw,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
crizaria,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
daabnade,SI,SI,10,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
danmasac,SI,SI,11,110,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
daslacru,SI,SI,5,57,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
deabmigu,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
delgcrub,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
dfalejan,SI,SI,3,12,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
diazfkar,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
diegourd,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
disabelg,SI,SI,1,11,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
divyasmi,SI,SI,5,69,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
djjardim,SI,SI,9,75,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
dpperale,SI,SI,4,13,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
eborrasr,SI,SI,13,98,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
eguinape,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
elgadale,SI,SI,11,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
emacheam,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
emariali,SI,SI,6,84,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
enefreyt,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
enriqdie,SI,SI,8,95,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
espinsof,SI,SI,7,61,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
esteclav,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
etorreed,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
eusetor,SI,SI,2,22,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
evamfa,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
evelilia,SI,SI,3,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
exadrian,SI,SI,6,82,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
eyolandf,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
fabperis,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
falainbe,SI,SI,12,121,Corral | Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Fluid | Stow Cart Runner,NO
feleipec,SI,SI,5,21,Corral,Ocean | Ocean CartonMover | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
fheangie,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
fonterui,SI,SI,7,73,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
fornesd,SI,SI,1,7,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
fpinamon,SI,SI,13,102,Corral | Dock Repaletizado,Ocean | Ocean CartonMover | Ergopack | Fluid | Stow Cart Runner,NO
franfrq,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
frannrod,SI,SI,12,114,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
fthaydee,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gabrijaf,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gagustac,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
galvnava,SI,SI,5,40,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
garcamax,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
garcibeg,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
garomanu,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gartomax,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
garwanto,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gdohhich,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
geordc,SI,SI,12,57,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gergecs,SI,SI,5,61,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ggarcika,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gimenoma,SI,SI,8,103,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
ginetspe,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
givanara,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
goluisc,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gomezgae,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gomezqsa,SI,SI,8,105,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
gonellhy,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gonfeliq,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gpejordi,SI,SI,10,126,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
gregopin,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
grosnav,SI,SI,2,10,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
gueleaza,SI,SI,10,58,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
guevdaya,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
guiltgar,SI,SI,10,103,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
haelabbo,SI,SI,9,103,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
hajnihal,SI,SI,9,81,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
hakihamd,SI,SI,8,56,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
hayeloua,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
hedalex,SI,SI,4,64,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
helmosqu,SI,SI,8,76,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
hivaniul,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
hjesmarl,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
hrojarog,SI,SI,6,74,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
hurtaduf,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ierilugo,SI,SI,11,146,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
irenetis,SI,SI,1,86,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
jaimyosm,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
javicrom,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
jcpatani,SI,SI,13,122,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
jebellor,SI,SI,9,77,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
jecatarj,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
jeespini,SI,SI,3,35,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
jeorlmen,SI,SI,4,71,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
jesumolf,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
jferrerm,SI,SI,10,134,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
jijdavid,SI,SI,12,90,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
jonataad,SI,SI,5,21,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
jordialv,SI,SI,8,118,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
jorgervi,SI,SI,7,105,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
josborrq,SI,SI,10,101,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
josefelu,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
josemiyh,SI,SI,10,91,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
josimovs,SI,SI,9,94,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
juahsana,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
juanfelv,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
juanfgra,SI,SI,10,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
juditrok,SI,SI,8,109,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
judittru,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
jurreava,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
kacostaf,SI,SI,5,76,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
kalthzai,SI,SI,11,122,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
karinrbo,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
karziisr,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
kathroai,SI,SI,10,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
kenelmsa,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
keroropq,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
kfabmaio,SI,SI,8,64,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
kondrjer,SI,SI,2,74,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
lagcrisb,SI,SI,12,119,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
laitabde,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
larrajlh,SI,SI,6,80,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
lauratmo,SI,SI,3,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
ldaniesh,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
letibona,SI,SI,1,26,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
leznadia,SI,SI,7,140,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
linaorte,SI,SI,13,117,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
linobern,SI,SI,6,90,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
llvicent,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
lnkhadoj,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
lobrianz,SI,SI,6,129,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
loismaik,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
lopmicae,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
lsilvinq,SI,SI,2,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
lukeila,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
lvargasd,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
lvguzman,SI,SI,1,56,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
maarenal,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
macnunez,SI,SI,11,97,Ergopack,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Fluid | Stow Cart Runner,NO
mafaldar,SI,SI,3,28,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
maitdesi,SI,SI,2,78,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
manacost,SI,SI,4,72,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
manueega,SI,SI,8,90,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
maraulan,SI,SI,2,8,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
marcmalv,SI,SI,7,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
marcsosj,SI,SI,11,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mariaauf,SI,SI,12,85,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mariacsg,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mariagw,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
marinosy,SI,SI,5,62,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
martdeg,SI,SI,1,16,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
marwuill,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
matabuan,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mateorag,SI,SI,3,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mavelose,SI,SI,1,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mayoraa,SI,SI,2,50,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mcastant,SI,SI,3,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mdferrer,SI,SI,3,28,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mebaudil,SI,SI,10,76,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
megeaser,SI,SI,7,95,Dock Repaletizado,Ocean | Ocean CartonMover | Corral | Ergopack | Fluid | Stow Cart Runner,NO
meibilin,SI,SI,6,115,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mejiaamp,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mendeztb,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mendnfab,SI,SI,6,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
merchfer,SI,SI,11,104,Corral | Dock Repaletizado,Ocean | Ocean CartonMover | Ergopack | Fluid | Stow Cart Runner,NO
mfuenant,SI,SI,10,96,Dock Repaletizado | Ergopack,Ocean | Ocean CartonMover | Corral | Fluid | Stow Cart Runner,NO
mgalinm,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
micabalv,SI,SI,9,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mijyonat,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mingapia,SI,SI,5,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mjavtruj,SI,SI,5,10,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
mmilkova,SI,SI,11,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
monroigc,SI,SI,4,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
montejup,SI,SI,8,0,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
moradvic,SI,SI,1,59,,Ocean | Ocean CartonMover | Corral | Dock Repaletizado | Ergopack | Fluid | Stow Cart Runner,NO
