login,activo_roster_A,ib_any_by_process,earned_cert_count,target__ocean,target__ocean_cartonmover,target__corral,target__dock_repaletizado,target__ergopack,target__fluid,target__stow_cart_runner,cert__eucf_ilt_sdlp_all_dock_safety_training,cert__eutom_slot_training,cert__eucf_ilt_all_pit_safety_high,cert__eucf_ntu_ist_corral,cert__eucf_ilt_all_corral,cert__eucf_ilt_all_wrapping_unwrapping_pallets,cert__eucf_ilt_all_ergo_pack,cert__eucf_ilt_all_cart_handler_stow,cert__eucf_ntu_all_pit_tugw,missing_targets,missing_certificates_any_target,cumple_todos_objetivo
fearteag,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
fejesusr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
feleipec,1,1,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUTOM_SLOT Training,0
feraqueq,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
fersjuan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
fheangie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
fmireyna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
fonterui,1,1,73,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,Corral | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral,0
fornesd,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corral | Dock Repaletizado | Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Corral | EUCF_ILT_ALL_Ergo_Pack | EUCF_ILT_ALL_Wrapping Unwrapping Pallets | EUCF_NTU_ALL_PIT_TUGW | EUCF_NTU_IST_ Corral | EUTOM_SLOT Training,0
fpinamon,1,1,102,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,Ergopack | Fluid | Ocean | Ocean CartonMover | Stow Cart Runner,EUCF_ ILT/SDLP_ALL_Dock Safety Training | EUCF_ ILT_ALL_PIT Safety_High | EUCF_ILT_ALL_Cart Handler Stow | EUCF_ILT_ALL_Ergo_Pack | EUCF_NTU_ALL_PIT_TUGW,0
